Infection_Risk,Case_Fatality_Rate,Recovery_Proporation,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered
0.0,1.26,86.74,491555177,770737,6175677,1759,426361148
0.0,1.26,86.74,491555177,770737,6175677,1759,426361148
24.47,1.23,80.17,81831520,5149,1008181,22,65606263
3.07,1.21,98.76,43028863,732,521388,14,42493773
13.94,2.2,95.88,29995638,0,660192,0,28758676
39.68,0.55,89.97,25997852,102266,142506,31,23390522
25.69,0.6,78.41,21646375,57761,130563,34,16972700
30.97,0.78,89.91,21216874,0,165570,0,19075703
12.25,2.07,94.79,17896866,16828,369708,304,16965027
17.33,0.66,97.82,14894731,9021,98157,38,14570521
24.62,1.08,90.27,14845815,53588,159784,118,13402015
27.02,0.12,0.0,13874216,234301,17235,306,13856981
24.69,0.89,94.52,11551574,0,102541,0,10918903
9.93,0.43,79.32,9818328,50730,42600,37,7787962
19.69,1.42,98.08,9041124,484,128065,6,8867907
45.99,0.28,82.82,7910315,12387,22013,7,6551189
8.35,1.96,96.08,7167646,1275,140315,38,6886942
5.29,0.42,92.65,6653841,47377,28248,48,6164792
11.74,2.29,97.26,6085926,308,139660,10,5919072
2.16,2.58,95.83,6019981,1933,155288,47,5768703
15.8,1.93,89.35,5969621,557,115345,2,5333558
4.31,5.71,87.6,5665376,3303,323212,85,4963000
11.48,2.17,0.0,4968881,0,107980,0,4860901
17.99,0.14,89.1,4680816,47538,6384,17,4170493
12.83,0.83,94.63,4246467,12380,35099,30,4018421
42.28,0.27,97.56,3943153,8670,10530,15,3846922
42.74,0.41,91.89,3887355,13907,15985,28,3572230
32.98,0.8,91.94,3851048,0,30826,0,3540753
35.65,1.04,97.47,3830621,2589,39715,7,3733697
6.14,2.69,97.0,3722954,889,100050,4,3611123
5.29,0.68,92.33,3711595,26840,25418,97,3427054
3.28,1.61,97.41,3679629,690,59343,19,3584319
35.53,0.6,0.0,3604114,0,21693,0,3582421
10.51,5.98,0.0,3548088,0,212299,0,3335789
9.13,1.08,94.19,3499226,3077,37690,10,3295953
39.83,0.39,81.65,3490876,0,13715,0,2850404
17.97,1.63,88.65,3486653,4478,56750,61,3090745
29.78,0.9,91.34,3077711,10357,27684,61,2811268
50.09,0.2,97.8,2919428,1955,5762,17,2855172
15.04,2.28,91.14,2860094,1429,65090,11,2606660
24.37,0.74,97.98,2487852,0,18331,0,2437546
5.55,1.08,98.45,2320260,134,25173,3,2284245
22.83,0.8,97.53,1980722,993,15825,7,1931773
1.16,1.49,96.5,1951770,56,29122,0,1883510
19.28,2.45,92.19,1854198,0,45510,0,1709370
31.58,1.13,93.61,1725487,3258,19417,25,1615277
16.27,0.83,98.79,1689314,0,14003,0,1668852
41.48,1.02,98.71,1649222,217,16756,5,1627958
0.67,1.99,97.42,1525466,285,30361,1,1486113
29.1,0.46,89.02,1465150,0,6786,0,1304319
25.63,0.18,0.0,1408257,0,2518,0,1405739
6.81,1.05,98.83,1305188,18,13660,0,1289965
15.41,0.7,0.0,1171422,3709,8172,111,1163250
3.09,1.38,98.55,1163526,54,16060,0,1146704
16.63,3.21,81.22,1140453,0,36565,0,926273
18.71,0.11,92.93,1109744,3743,1276,4,1031320
27.15,1.41,97.77,1102730,809,15601,9,1078183
16.14,0.94,97.35,1092995,188,10315,3,1064061
9.66,0.78,98.89,1092547,695,8514,2,1080374
8.61,2.73,0.0,1035884,0,28323,0,1007561
38.82,0.86,93.63,1030949,1475,8907,8,965326
3.26,1.22,98.69,978475,23,11951,0,965625
46.83,0.67,95.56,973876,922,6501,3,930588
10.22,0.71,96.19,965322,645,6844,8,928536
7.55,2.43,93.25,902448,132,21896,1,841533
8.83,0.26,97.51,892170,298,2302,0,869993
16.01,0.36,5.17,889626,0,3178,0,46000
25.44,0.81,98.56,889132,0,7162,0,876369
4.75,4.12,0.0,859890,0,35421,0,824469
16.22,0.99,97.18,839368,0,8308,0,815710
4.49,2.09,96.89,830745,0,17325,0,804950
43.39,0.7,95.39,802534,533,5643,4,765542
7.69,1.22,98.73,792061,42,9697,0,782023
17.26,1.07,98.62,765054,0,8170,0,754470
2.1,1.2,97.87,751076,78,9048,1,735105
13.86,0.05,86.23,693219,8845,350,20,597791
3.07,2.49,96.27,661991,106,16481,1,637292
8.9,2.89,96.35,648353,0,18731,0,624673
14.36,0.41,99.29,628978,0,2554,0,624538
1.11,3.18,96.42,611875,66,19433,1,589991
10.95,0.92,98.9,581075,0,5351,0,574674
5.24,0.76,99.21,578130,0,4375,0,573590
42.07,0.44,87.06,558706,453,2468,2,486425
30.78,0.26,98.61,555560,0,1471,0,547812
1.84,1.09,98.6,520708,0,5685,0,513432
12.8,2.23,97.25,514199,185,11446,1,500082
0.48,4.83,86.0,505264,0,24417,0,434503
7.13,1.28,97.67,501738,0,6419,0,490052
0.39,1.6,95.26,469819,13,7504,0,447542
13.9,0.46,66.85,468610,65,2177,0,313256
35.98,0.22,28.27,439964,2853,947,2,124370
14.21,2.04,97.05,422574,11,8617,1,410106
4.14,2.58,31.14,421062,0,10880,0,131100
7.28,1.09,98.66,388468,36,4251,1,383246
11.57,4.19,51.18,375554,0,15718,0,192218
12.89,0.19,99.49,361819,152,677,0,359958
37.17,0.21,95.72,336945,0,709,0,322519
0.58,1.75,98.22,323454,4,5648,0,317685
1.64,1.25,98.53,317031,0,3967,0,312363
14.72,3.01,96.34,306670,196,9228,2,295457
12.55,0.88,99.0,305526,0,2686,0,302476
9.53,1.28,98.54,273870,47,3492,0,269862
0.59,2.59,67.11,265691,7,6874,0,178305
0.12,1.23,97.71,255468,0,3142,0,249612
1.62,2.21,96.79,246481,0,5446,0,238581
0.69,0.69,99.08,237853,25,1637,0,235674
37.14,1.16,98.59,233326,61,2705,0,230030
0.69,0.98,98.99,225266,2,2200,0,222998
33.7,0.48,90.55,216979,0,1037,0,196469
2.99,1.49,97.65,200968,13,2991,1,196243
2.46,0.37,4.17,183560,1593,679,6,7660
52.69,0.06,41.62,181830,0,101,0,75685
0.44,4.31,90.56,177827,32,7671,0,161033
31.77,0.17,92.48,176993,0,298,0,163687
0.34,2.19,61.11,163936,4,3595,0,100183
2.46,2.56,87.64,161052,0,4119,0,141145
0.5,0.9,99.07,160971,0,1445,0,159468
6.01,2.55,97.1,157646,0,4019,0,153069
37.74,0.64,0.07,141415,0,909,0,104
9.82,2.72,92.1,138159,0,3754,0,127251
30.57,0.16,97.07,135974,544,213,0,131984
0.79,2.25,97.29,135747,33,3054,0,132068
32.66,0.64,1.72,130705,0,843,0,2250
0.96,1.12,35.09,129728,2,1458,0,45522
4.32,2.25,63.1,128811,0,2893,0,81282
0.43,1.61,98.25,119544,0,1927,0,117455
0.29,1.92,97.94,99194,0,1900,0,97149
0.09,1.54,58.71,86748,0,1337,0,50930
0.49,2.29,97.67,85919,8,1965,0,83914
0.43,3.07,94.17,85664,7,2626,0,80672
0.3,0.97,98.98,81761,0,796,0,80924
18.39,0.79,90.26,81596,607,641,2,73649
13.3,1.67,62.33,79229,0,1325,0,49383
25.33,0.5,14.23,79075,0,394,0,11254
25.49,0.89,0.0,72318,0,646,0,71672
5.91,2.0,97.85,69851,13,1394,0,68349
39.08,0.23,93.66,69036,0,156,0,64656
7.1,1.29,97.19,64417,0,834,0,62605
0.22,2.17,92.6,64050,0,1388,0,59313
7.98,1.94,97.94,63267,0,1226,0,61962
0.14,7.92,0.0,61955,0,4907,0,57048
20.77,0.52,99.06,60294,0,311,0,59727
20.74,0.63,97.24,59734,0,375,0,58084
1.21,1.67,98.31,58670,0,982,0,57680
13.96,1.15,98.42,57289,0,656,0,56383
9.88,0.72,99.17,55960,2,401,0,55495
0.31,5.64,92.83,55706,0,3144,0,51713
2.05,0.64,99.33,47586,0,303,0,47266
0.46,1.52,94.55,42203,0,640,0,39905
24.61,0.66,98.0,40671,0,267,0,39858
40.66,0.41,98.44,40421,0,164,0,39790
51.66,0.38,98.15,40024,0,153,0,39283
0.31,0.1,2.01,38519,0,38,0,773
0.43,0.74,99.05,36944,1,272,0,36592
12.98,0.51,8.03,36891,0,187,0,2964
2.86,2.65,93.0,36481,0,968,0,33927
0.27,1.21,98.68,36459,0,440,0,35976
69.61,0.08,22.47,34237,0,28,0,7693
31.66,0.62,99.12,34051,0,212,0,33752
0.05,2.37,0.0,33815,0,800,0,33015
8.33,2.37,96.72,33295,0,788,0,32202
1.52,2.12,73.4,32910,0,697,0,24155
4.0,0.04,79.76,31437,1384,12,0,25074
0.26,2.73,93.77,30549,0,833,0,28645
0.14,2.39,97.2,30495,2,728,0,29641
33.11,0.3,94.29,28416,0,84,0,26794
0.21,0.6,94.63,26952,0,163,0,25506
0.16,5.11,49.93,26400,0,1348,0,13182
0.1,3.51,84.36,24312,280,853,0,20510
0.42,1.6,83.83,24071,0,385,0,20178
12.41,1.59,98.33,22964,5,365,0,22580
1.68,0.57,99.37,22832,0,130,0,22688
0.1,1.83,98.01,20853,0,382,0,20439
30.72,0.12,41.51,20606,0,24,0,8553
0.27,1.22,22.92,18434,0,224,0,4225
0.18,0.71,99.29,17388,0,124,0,17264
0.15,0.8,78.22,17278,0,138,0,13514
50.42,0.59,96.35,16979,0,101,0,16359
42.87,0.51,98.6,16429,0,84,0,16199
1.07,1.15,98.68,15903,0,183,0,15693
1.54,1.21,98.76,15590,2,189,0,15396
44.58,0.74,97.1,15181,0,113,0,14740
0.29,0.77,46.82,14649,0,113,0,6859
12.35,1.56,98.02,14012,0,218,0,13735
20.31,1.02,97.09,12564,0,128,0,12198
0.47,3.04,96.69,11988,0,365,0,11591
21.02,0.18,23.06,11971,0,21,0,2761
16.45,0.53,98.25,11891,0,63,0,11683
0.04,18.15,76.22,11806,0,2143,0,8999
1.6,1.16,84.57,11470,0,133,0,9700
27.29,0.5,97.78,10842,4,54,0,10601
25.38,0.62,13.84,10107,0,63,0,1399
22.32,0.88,98.33,9758,0,86,0,9595
0.27,1.06,98.92,9728,0,103,0,9623
0.03,3.5,96.3,8810,0,308,0,8484
32.17,0.38,95.17,8574,0,33,0,8160
0.4,2.09,87.67,8151,0,170,0,7146
0.9,1.98,97.87,8093,4,160,0,7921
0.09,1.63,0.0,7674,0,125,0,7549
7.54,1.8,98.09,7493,0,135,0,7350
0.14,3.97,77.66,7400,0,294,0,5747
0.04,2.61,66.69,7308,0,191,0,4874
6.05,1.57,98.4,6746,0,106,0,6638
20.13,1.01,0.0,6155,0,62,0,6093
2.63,1.23,98.69,5945,0,73,0,5867
14.91,0.61,98.78,5910,0,36,0,5838
10.3,0.77,99.23,5549,0,43,0,5506
1.33,0.05,38.87,4237,326,2,0,1647
41.79,0.14,0.0,4150,0,6,0,4144
17.72,0.33,99.11,2700,0,9,0,2676
1.16,0.04,32.65,2331,0,1,0,761
34.06,0.05,88.3,1957,0,1,0,1728
4.17,1.54,96.48,454,0,7,0,438
3.5,1.14,98.86,175,0,2,0,173
3.36,0.0,0.0,123,0,0,0,0
0.01,0.0,100.0,82,0,0,0,82
3.6,0.0,96.55,29,0,0,0,28
0.0,10.0,80.0,10,0,1,0,8
0.01,0.0,100.0,7,0,0,0,7
0.01,3.0,80.09,154738,1506,4638,0,123933
